dataset,record_type,parts,method,dtype,rows,dim,leaf_size,repeats,neighbors_per_leaf,sample_rows,k,seed,incremental_ms,cumulative_ms,leaf_count,min_leaf_size,mean_leaf_size,max_leaf_size,nn_same_partition_rate,implicit_knn_recall,implicit_cross_knn_recall,implicit_unique_degree_mean
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,2,4,4096,12,1234,405.571180,807.028049,0,0,0,0,nan,0.059835,0.079508,7.946045
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,4,4,4096,12,1234,401.141747,1603.978543,0,0,0,0,nan,0.112223,0.149121,15.695801
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,8,4,4096,12,1234,402.573597,3208.872732,0,0,0,0,nan,0.198792,0.264152,30.594238
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,16,4,4096,12,1234,404.187090,6434.293271,0,0,0,0,nan,0.324626,0.431360,58.682129
OpenAI-2M,implicit-scaffold,8,pivot-binary,float32,2321096,1536,256,32,4,4096,12,1234,401.310788,12867.386328,0,0,0,0,nan,0.478739,0.636145,109.364990
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,1,4,4096,12,1234,643.779818,643.779818,0,0,0,0,nan,0.034973,0.046472,3.999756
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,2,4,4096,12,1234,639.669746,1283.449564,0,0,0,0,nan,0.065247,0.086699,7.933838
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,4,4,4096,12,1234,638.131575,2572.156528,0,0,0,0,nan,0.122742,0.163098,15.636230
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,8,4,4096,12,1234,641.483800,5157.945917,0,0,0,0,nan,0.217285,0.288727,30.397461
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,16,4,4096,12,1234,657.415200,10332.487479,0,0,0,0,nan,0.354411,0.470938,57.906982
OpenAI-2M,implicit-scaffold,8,pivot-ternary,float32,2321096,1536,256,32,4,4096,12,1234,653.786333,20690.161188,0,0,0,0,nan,0.509257,0.676696,107.238281
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,1,4,4096,12,1234,401.967593,401.967593,0,0,0,0,nan,0.040039,0.042075,4.000000
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,2,4,4096,12,1234,408.799565,810.767158,0,0,0,0,nan,0.077209,0.081135,7.935547
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,4,4,4096,12,1234,399.903697,1606.494762,0,0,0,0,nan,0.144633,0.151986,15.654785
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,8,4,4096,12,1234,402.038873,3214.480733,0,0,0,0,nan,0.255798,0.268803,30.468750
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,16,4,4096,12,1234,404.440692,6444.906708,0,0,0,0,nan,0.414490,0.435562,58.253418
OpenAI-2M,implicit-scaffold,128,pivot-binary,float32,2321096,1536,256,32,4,4096,12,1234,401.369429,12888.854531,0,0,0,0,nan,0.610250,0.641275,108.194336
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,1,4,4096,12,1234,644.315182,644.315182,0,0,0,0,nan,0.045227,0.047526,4.000000
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,2,4,4096,12,1234,642.199645,1286.514827,0,0,0,0,nan,0.083476,0.087720,7.925049
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,4,4,4096,12,1234,639.489505,2576.841963,0,0,0,0,nan,0.156657,0.164621,15.587891
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,8,4,4096,12,1234,640.494272,5162.548393,0,0,0,0,nan,0.275960,0.289990,30.232422
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,16,4,4096,12,1234,657.882684,10345.766939,0,0,0,0,nan,0.450297,0.473190,57.435303
OpenAI-2M,implicit-scaffold,128,pivot-ternary,float32,2321096,1536,256,32,4,4096,12,1234,655.008263,20712.170717,0,0,0,0,nan,0.646566,0.679437,106.041992
OpenAI-2M,implicit-native,0,native-nn-descent,float32,2321096,1536,0,1,12,4096,12,1234,21465.144598,21465.144598,0,0,0,0,nan,0.990417,nan,12
OpenAI-2M,implicit-native,2,native-nn-descent,float32,2321096,1536,0,1,12,4096,12,1234,21465.144598,21465.144598,0,0,0,0,nan,0.990417,0.989547,12
OpenAI-2M,implicit-native,8,native-nn-descent,float32,2321096,1536,0,1,12,4096,12,1234,21465.144598,21465.144598,0,0,0,0,nan,0.990417,0.989862,12
OpenAI-2M,implicit-native,128,native-nn-descent,float32,2321096,1536,0,1,12,4096,12,1234,21465.144598,21465.144598,0,0,0,0,nan,0.990417,0.990251,12
OpenAI-2M,implicit-native,0,native-nn-descent,float32,2321096,1536,0,1,32,4096,12,1234,21442.667428,21442.667428,0,0,0,0,nan,0.997437,nan,32
OpenAI-2M,implicit-native,2,native-nn-descent,float32,2321096,1536,0,1,32,4096,12,1234,21442.667428,21442.667428,0,0,0,0,nan,0.997437,0.997199,32
OpenAI-2M,implicit-native,8,native-nn-descent,float32,2321096,1536,0,1,32,4096,12,1234,21442.667428,21442.667428,0,0,0,0,nan,0.997437,0.997242,32
OpenAI-2M,implicit-native,128,native-nn-descent,float32,2321096,1536,0,1,32,4096,12,1234,21442.667428,21442.667428,0,0,0,0,nan,0.997437,0.997370,32
OpenAI-2M,implicit-native,0,native-nn-descent,float32,2321096,1536,0,1,64,4096,12,1234,27830.693947,27830.693947,0,0,0,0,nan,0.998433,nan,64
OpenAI-2M,implicit-native,2,native-nn-descent,float32,2321096,1536,0,1,64,4096,12,1234,27830.693947,27830.693947,0,0,0,0,nan,0.998433,0.998199,64
OpenAI-2M,implicit-native,8,native-nn-descent,float32,2321096,1536,0,1,64,4096,12,1234,27830.693947,27830.693947,0,0,0,0,nan,0.998433,0.998486,64
OpenAI-2M,implicit-native,128,native-nn-descent,float32,2321096,1536,0,1,64,4096,12,1234,27830.693947,27830.693947,0,0,0,0,nan,0.998433,0.998397,64
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,1,0,4096,12,1234,108.635939,108.635939,71611,1,139.643351,256,0.071330,nan,nan,nan
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,2,0,4096,12,1234,105.616877,214.252816,71758,1,139.357284,256,0.121155,nan,nan,nan
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,4,0,4096,12,1234,117.704768,449.725072,71551,1,139.760451,256,0.200378,nan,nan,nan
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,8,0,4096,12,1234,103.992104,848.300079,71760,1,139.353400,256,0.323995,nan,nan,nan
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,16,0,4096,12,1234,107.809013,1678.457101,71288,1,140.276063,256,0.495850,nan,nan,nan
YFCC-10M,partition,0,pivot-binary,uint8,10000000,192,256,32,0,4096,12,1234,91.111408,3349.869994,71902,1,139.078190,256,0.686442,nan,nan,nan
